,0,1,2,3,4,5,6
440,45900,2013,263000,1968,1,16,1
441,51900,2017,225000,1598,1,16,1
442,64900,2013,174000,1968,1,10,2
443,52500,2018,141000,1598,1,16,1
444,89900,2018,120000,1968,1,32,1
445,42900,2015,201240,1598,1,16,1
446,25500,2013,179000,999,0,49,1
447,128900,2012,212000,2000,1,48,-
448,81900,2022,10072,1498,0,32,-
449,15950,2006,308300,1896,1,32,-
450,79900,2018,128400,1968,1,32,1
451,59900,2016,85000,1395,0,16,1
452,150000,2015,139800,2967,1,46,2
453,20900,2008,289481,1968,1,32,2
454,32900,2014,299999,1598,1,16,1
455,43900,2011,176949,1984,0,16,1
456,117900,2017,185000,1984,0,2,2
457,97000,1989,55000,2383,1,28,-
458,42900,2009,194235,1390,0,38,-
459,58900,2017,84000,1598,1,16,1
460,24990,2010,289124,1598,1,16,1
461,29900,2014,120000,1197,0,35,0
462,84500,2017,166890,1395,0,44,1
463,2800,1999,260500,1390,0,16,-
464,19999,2009,257128,1968,1,32,1
465,67500,2017,199931,1968,1,44,0
466,37900,2010,150000,1390,0,44,1
467,69900,2017,208000,1968,1,32,1
468,62900,2015,222000,1968,1,32,1
469,24200,2011,297000,1598,1,16,1
470,13500,2008,339450,1896,1,16,0
471,37500,2009,206000,1968,1,10,2
472,4300,2000,225000,1390,0,16,-
473,42500,2014,267396,1968,1,32,-
474,84700,2018,70500,1968,1,16,1
475,19000,2007,213000,1968,1,32,2
476,4600,2004,182000,1422,1,35,-
477,41900,2015,231000,1598,1,16,1
478,6999,2005,315000,1390,0,16,-
479,64900,2017,265000,1598,1,47,1
480,29900,2005,194000,1896,1,48,1
481,109000,2019,99500,1968,1,32,2
482,54700,2016,155000,1598,1,32,0
483,8999,2000,210000,1984,0,16,1
484,60900,2018,82000,999,0,35,2
485,39000,2013,206000,1390,0,44,0
486,34000,2009,139909,1390,0,16,-
487,17500,2008,180000,1390,0,16,2
488,99999,2019,89000,1598,1,41,1
489,79950,2019,102000,1968,1,7,1
490,66900,2018,128600,1598,1,16,2
491,83900,2017,116000,1798,0,32,1
492,24900,2009,215000,1390,0,32,1
493,77900,2017,130000,1968,1,32,1
494,23900,2011,292000,1598,1,16,1
495,7200,2005,333000,1896,1,35,-
496,39600,2012,90000,1598,0,7,1
497,45900,2016,244500,1598,1,32,0
498,129900,2017,21000,1395,0,44,2
499,26999,2010,131000,1390,0,16,1
500,26999,2010,153000,1390,0,16,1
501,59999,2015,208000,1968,1,32,1
502,26600,2009,188100,1390,0,16,2
503,39500,2010,271000,1968,1,44,1
504,81500,2019,22000,1498,0,16,1
505,189420,2022,7750,1984,0,2,1
506,149000,2021,19850,1498,0,7,-
507,21900,2006,289000,1900,1,7,2
508,8900,2007,367800,1896,1,16,-
509,38000,2014,222500,1598,1,16,1
510,32000,2015,295000,4172,0,34,-
511,21900,2008,225000,1984,0,16,-
512,115900,2020,55000,1984,0,44,0
513,15800,2006,155000,1984,1,47,1
514,58900,2013,73500,1968,1,32,-
515,23500,2004,200000,4921,1,34,2
516,25900,2007,175299,1390,0,47,-
517,27900,2009,295191,1968,1,16,-
518,13900,2006,280000,1896,1,16,1
519,26900,2006,236000,1984,0,16,-
520,7999,2000,176000,1389,0,35,-
521,19900,2015,151000,999,0,35,-
522,60000,2013,142000,1968,1,44,1
523,29900,2010,227764,1968,1,13,2
524,17900,2010,194500,1198,0,35,1
525,12900,2004,270000,1896,1,47,2
526,92900,2017,147000,1968,1,44,1
527,69999,2017,237000,1598,1,16,-
528,191880,2019,51162,1984,0,16,-
529,85900,2016,56000,1968,1,10,2
530,66500,2014,109000,1968,1,16,1
531,8500,2004,366000,1896,1,32,1
532,11600,2005,156000,1198,0,35,2
533,35900,2009,257000,1968,1,32,1
534,39900,2013,207000,1598,1,16,-
535,23999,2005,140000,1595,0,16,-
536,130500,2022,3000,1498,0,41,1
537,46899,2017,175000,1968,1,7,1
538,27300,2009,148000,1595,0,16,2
539,26900,2009,193000,1595,0,16,2
540,88900,2017,140000,1968,1,32,1
541,23900,2014,151000,999,0,35,1
542,57000,2018,109000,1798,0,16,-
543,18400,2011,242750,1198,0,35,0
544,19300,2009,345000,1968,1,32,1
545,55900,2011,191600,1968,1,44,2
546,12900,2006,297206,1968,1,32,1
547,14999,2005,231212,1984,0,32,1
548,4000,2000,233000,1984,0,4,-
549,30300,2013,103000,1197,0,35,-
550,72999,2015,175000,1968,1,32,1
551,7600,2003,207000,1198,0,35,1
552,78900,2018,121000,1798,0,32,-
553,9900,2005,390000,1968,1,47,-
554,41000,2014,175000,1598,1,32,1
555,18300,2007,302500,1968,1,39,1
556,22900,2006,240000,1984,0,16,0
557,77900,2017,224000,1968,1,32,2
558,92900,2018,157000,1968,1,32,1
559,79900,2010,198000,1968,1,30,-
560,42800,2013,139000,1197,0,16,1
561,30900,1996,173500,2461,1,30,-
562,7800,1998,189879,1781,0,32,-
563,6600,2004,475000,1968,1,47,-
564,7011,2005,336000,1968,1,47,-
565,162900,2017,98726,1968,1,2,2
566,44900,2016,228000,1968,1,16,1
567,15900,2006,261534,1896,1,16,1
568,12900,2005,299700,1390,0,16,2
569,55555,2016,197111,1968,1,16,1
570,24900,2012,296000,1598,1,32,0
571,6999,2004,279000,1896,1,47,-
572,119000,2017,117000,1984,0,2,1
573,24900,2010,166000,1390,0,16,-
574,16500,2007,194000,1968,1,39,-
575,9999,2005,196425,1390,0,35,1
576,39900,2010,227000,1968,1,32,-
577,139900,2020,149000,1968,1,32,2
578,54000,2012,160000,1968,1,44,1
579,110000,2019,73000,1984,0,44,-
580,24500,2008,266000,1968,1,44,-
581,46000,2014,225715,1968,1,32,1
582,132900,2019,34700,1498,0,2,1
583,17800,2005,132400,1595,0,16,-
584,132500,2018,199000,1968,1,2,2
585,39900,2008,225100,1968,1,44,2
586,85000,2016,153000,1968,1,32,2
587,7999,2005,214000,1422,1,35,2
588,14700,2013,181100,1598,1,35,-
589,17999,2006,127000,1896,1,16,2
590,22500,2015,180000,999,0,49,1
591,23800,2009,249000,1595,0,16,2
592,11000,2006,322255,1968,1,32,0
593,63900,2015,155000,1984,0,16,-
594,27500,2009,307968,1896,1,7,-
595,112177,2017,82000,1968,1,32,-
596,36900,2017,64000,999,0,35,1
597,8900,2000,264000,1896,1,32,-
598,56900,2015,107500,1395,0,16,1
599,12900,2005,256210,1968,1,47,1
600,76500,2019,64500,1498,0,16,1
601,119999,2021,85000,1968,1,2,-
602,89600,2017,222000,1968,1,44,2
603,95000,2016,161174,1968,1,32,2
604,110500,2012,260500,1968,1,48,-
605,13900,2004,235000,1390,0,16,-
606,66900,2019,169971,1498,0,32,1
607,110900,2021,23800,1498,0,47,1
608,25500,2010,270000,1968,1,16,-
609,159900,2017,84000,1968,1,2,2
610,40500,2014,147000,1197,0,16,1
611,79900,2019,180000,1968,1,32,1
612,12700,2008,319000,1896,1,16,-
613,69999,2017,175000,1968,1,32,-
614,42900,2016,86000,-,1,49,-
615,99800,2017,155000,1968,1,32,2
616,52900,2013,219000,1968,1,10,1
617,96500,2019,116931,1498,0,41,2
618,99899,2017,181600,1968,1,2,0
619,145000,2019,83850,1968,1,2,1
620,274000,2018,20000,1968,1,8,-
621,59900,2012,178000,1968,1,44,1
622,180000,2019,78500,2967,1,1,-
623,18900,2008,228000,1896,1,16,2
624,75500,2017,149123,1968,1,7,1
625,136900,2019,140125,1968,1,2,1
626,7399,2002,233164,1390,0,16,-
627,45900,2011,250000,1968,1,32,2
628,59999,2010,224000,2967,1,46,0
629,36900,2008,213000,1968,1,44,1
630,140000,2023,2000,1968,1,7,-
631,29900,2012,195000,1798,0,32,-
632,5999,2001,364000,1896,1,32,0
633,4999,2004,365000,1968,1,32,-
634,5999,2000,259000,1984,0,39,-
635,3999,1999,100000,999,0,29,2
636,139000,2018,65900,1968,1,2,1
637,55000,2015,249382,1968,1,7,1
638,11900,2004,184000,1595,1,4,1
639,14000,2006,79000,1198,0,35,2
640,16900,2006,237000,1968,1,32,2
641,99000,2017,162000,2967,1,1,-
642,42900,2012,191824,1598,1,47,2
